id,Name,Date (UTC),Description,Url,Tax Code
prod_USRUunXPhQp1Yk,ZippyPaws Miniz 3 Pack Hedgehogs,2026-05-05 00:13,Zippy Miniz are perfect for replacing critters in Zippy Burrows or even as fun little toys for small dogs. Comes in a pack of 3. Squeaker: 1 round squeaker inside each critter Package size: 6 x 4.5 x 2 in,,
prod_USRR9aXU62P4rX,SodaPup Nylon Fish Bone (Purple),2026-05-05 00:09,"The Fish Bone chew toy is an ultra-durable nylon toy designed for aggressive chewers. Its textured “sticky outties” provide engaging chewing options while helping reduce boredom, anxiety, and destructive behavior. It also supports dental health by cleaning teeth and freshening breath. Made in the USA from FDA-compliant, non-toxic material, it’s veterinarian approved, dishwasher safe, and ideal for dogs 15–80 lbs.",,
prod_USREY8rPxycmF7,Multipet Mini Lamb Chop,2026-05-04 23:56,"The Lamb Chop Crinkle toy brings a fun twist to the classic favorite. Featuring a soft plush head with a squeaker and a flat body filled with crinkle material, it’s perfect for dogs who love multi-textured play. Its small 6"" size is ideal for puppies and small breeds, making it easy to grab, toss, and cuddle—perfect for interactive playtime and comfort.",,
prod_USRCfiXAucvR7E,"SodaPup TPE eMat Enrichment Lick Mat Jigsaw Blue Large 8""",2026-05-04 23:54,"Lick mats are a popular dog enrichment toy that keeps pups engaged and relaxed. Spread soft food across the surface or freeze it for longer-lasting enjoyment. Licking helps release calming hormones, reduce anxiety, and ease boredom. The textured grooves promote focus, support digestion, and improve dental health. Made in the USA, non-toxic, and top-rack dishwasher safe.",,
prod_USR838JxXLxtx0,ZippyPaws Donutz (Pink),2026-05-04 23:51,"So sweet! ZippyPaws’ Donutz are as irresistible as the colorful, sugary desserts we all love. Donutz are stuffing-free thanks to the unique shape of our new Crescent squeakers. Great as an indoor fetch toy.",,
prod_USR7XPz0sXh11t,Messy Mutts Travel Bowl (Blue),2026-05-04 23:50,"This collapsible dog bowl is a convenient, travel-friendly essential for feeding or watering your dog anywhere. Made from soft, food-grade silicone, it folds under 1"" yet stays sturdy when expanded. It holds 24 oz (3 cups) and includes a lightweight carabiner for easy attachment to bags or leashes. BPA/PVC-free, dishwasher safe, and durable. Do not microwave.",,
prod_USR0Nq9QMckOyn,Barkworthies Beef Trachea,2026-05-04 23:42,"Naturally Smoked 6"" Beef Trachea is a low-fat, light chew with a rich BBQ flavor, ideal for calorie-conscious dogs. Made from all-natural beef, it provides chondroitin, glucosamine, and collagen to support joint health. Slow-smoked in small batches, it offers a long-lasting, flavorful treat. Contains 52% protein and 185 kcal per chew, making it a nutritious and satisfying option.",,
prod_USQxZZxRpYVbka,PlaqueOff Dental Bones Bacon Plaque,2026-05-04 23:40,"Dental Care Bones are dog chews with A.N ProDen™ kelp, clinically proven to reduce plaque and tartar while freshening breath. Their shape helps prevent buildup, and they include omega 3 & 6 fatty acids and antioxidants for immune support. Bacon-flavored, with 13 bones per bag. Give one daily (or half for smaller dogs). Not recommended for dogs with thyroid issues due to iodine. Store in a cool, dry place.",,
prod_URoE7Sadw6NG1r,Etta Cookie Crunchers Peanut Butter Dog Biscuit Dog,2026-05-03 07:38,"Etta Says! Peanut Butter Cookie Crunchers: Etta Says! 5 Inch Peanut Butter Cookie Crunchers. Bakery-Fresh goodness with a satisfying crunch make these Cookie Crunchers a delicious option for discerning pet parents. Designed in an attention-grabbing display box making them an attractive option for your counter, feature areas, and in-line.",,
prod_URndh1k6a89Td6,Barkworthies Duck Feet,2026-05-03 07:01,"Barkworthies Duck Feet are high-protein, all-natural dog treats made from dehydrated duck with no additives or preservatives. They’re grain-free and rich in chondroitin to support joint health, mobility, and agility. The chewing action helps clean teeth and promote dental health. Always supervise your dog while chewing and discard if sharp edges or choking risks develop. Not for human consumption.",,
